,nHubs,resEnergy,type,storageCost,transCost,co2Reduction,transEmissions,costEff
90,92,8.88366637023691,ssaa,3997600.949730197,266783.4741400273,480134.8409726985,109.56242810332456,8.883666370236908
91,93,8.98968660777963,ssaa,3897812.831124378,262274.30846561934,462869.9092410887,107.71061339909329,8.989686607779626
92,94,9.0453631003965,ssaa,3926609.749230338,261631.89135123347,463127.2429885604,107.44678297149017,9.045491520889355
93,95,8.98453893032237,ssaa,4117914.649128592,272350.09387377393,488758.48659257306,111.84851241027194,8.984538930322366
94,96,9.10402907798435,ssaa,4104891.755011229,265277.96787824074,480134.8409726985,108.94414669279266,9.104029077984347
95,97,9.21677294553856,ssaa,4004600.151749198,260054.4040801215,462812.62678771344,106.79894222523602,9.216772945538562
96,98,9.27188766896395,ssaa,4028893.180979276,261258.69294870622,462812.6267877135,107.29351577051938,9.271887668963949
97,99,9.33042711289703,ssaa,4058038.9690935262,259739.70795564417,462869.9092410888,106.6697018294457,9.330427112897034
98,100,9.25343593458405,ssaa,4248525.290738148,270759.8911460601,488501.1528451013,111.19544628223429,9.253435934584054
99,101,9.31027242506092,ssaa,4277675.247760547,269904.88966065063,488558.43529847666,110.84431496744911,9.310272425060916
100,102,9.4491656448355,ssaa,4364227.172704042,274365.02425627055,491012.33546029794,112.67602893195657,9.449165644835503
101,103,9.56238386860748,ssaa,4160687.580971421,259741.0379697287,462379.32941669115,106.67024714529053,9.562383868607482
102,104,9.47139956636996,ssaa,4365930.990467574,270504.79034355364,489630.6963519013,111.09068837370285,9.471399566369959
103,105,9.67732372159214,ssaa,4219851.911342732,257910.69226953713,462812.62678771344,105.91856615821085,9.677323721592138
104,106,9.73302952816998,ssaa,4245290.929319801,258245.78527434435,462812.6267877135,106.05618092466236,9.733029528169984
105,107,9.63892428085703,ssaa,4487671.049791863,270061.73038366257,493706.7334948166,110.90873827030907,9.63892428085703
106,108,9.69345259588679,ssaa,4519261.072203968,269588.6872422095,494140.03086583887,110.71447157249314,9.69345259588679
107,109,9.90831202715916,ssaa,4326644.243342445,257997.84415171793,462812.6267877135,105.9543567851018,9.908312027159162
108,110,9.96775059328707,ssaa,4353888.754163515,258254.9022149265,462812.62678771344,106.05992351437952,9.967750593287066
109,111,10.0260962955702,ssaa,4381326.090955011,257816.31090173652,462812.62678771344,105.87980519481907,10.026096295570156
110,112,10.5367359411225,ssaa,4622778.032368699,267899.8216678718,449007.5926435996,110.0208957954388,10.894863687933269
111,113,10.1692116596811,ssaa,4419552.505783291,247150.96583314336,459004.1780282911,101.49977643914592,10.169266148966088
112,114,10.2198709339635,ssaa,4474326.8007697705,258883.62123944613,463244.3022150139,106.31812565990928,10.219870933963453
113,115,10.2829743830441,ssaa,4501612.849171251,256394.78001507855,462812.62678771344,105.29601462974878,10.282974383044094
114,116,10.3466637742047,ssaa,4498921.569401741,249181.5193950255,459004.1780282911,102.33368361730834,10.346663774204714
115,117,10.199379618356,ssaa,4771909.237418195,266894.5878680089,494140.0308658389,109.60805288946838,10.199379618356021
116,118,10.4824992661342,ssaa,4506307.19224843,245678.70616035312,453426.55515464925,100.89514138893874,10.482499266134157
117,119,10.5451133106476,ssaa,4534718.365201307,245652.20104600897,453426.55515464925,100.88425640675739,10.545113310647613
118,120,10.6133704625659,ssaa,4557228.537870286,254532.74282933166,453472.4126558298,104.53129608116842,10.613370462565857
119,121,10.6558203590749,ssaa,4604487.968268707,256153.91438366543,456253.06180224323,105.19707995566587,10.655847058741871
120,122,10.7235092933435,ssaa,4635444.850442153,256061.42337806427,456253.0618022433,105.15909500376434,10.723509293343472
121,123,10.8002872836424,ssaa,4650799.574200093,245249.68992185857,453426.55515464925,100.71894867200135,10.800287283642351
122,124,10.8992785097297,ssaa,4720709.856472625,255325.18108743522,456652.0523218343,104.85673287870375,10.899278509729688
123,125,10.9612751052983,ssaa,4749055.15403382,255284.43877658626,456652.0523218344,104.84000057120566,10.961275105298316
124,126,11.0314796139627,ssaa,4757102.322447455,243759.15087498323,453426.55515464925,100.10681559079212,11.0314796139627
125,127,11.0828252328631,ssaa,4772496.322554648,251178.79162579542,453387.85420116124,103.15389892211113,11.0828252328631
126,128,11.1631614132859,ssaa,4812834.045247685,242889.2898464455,452993.25778362696,99.74958109796123,11.16316141328585
127,129,11.2310033037744,ssaa,4839156.889016429,252628.06936166686,453472.4126558298,103.74908621814595,11.231003303774406
128,130,11.3335905861319,ssaa,4873175.1420669705,241732.1692417599,451342.7409869572,99.27437743926889,11.335138766086333
129,131,11.3662767198341,ssaa,4899615.386619853,242214.608943518,452475.4019579362,99.47250419682979,11.366276719834145
130,132,11.4323674028729,ssaa,4926483.755829732,250682.19295304103,452954.556830139,102.94995457795451,11.43236740287289
131,133,11.5566976997426,ssaa,4974564.447657295,237420.78853906807,451062.1867763889,97.50378544441506,11.557413324761445
132,134,11.9583832171683,ssaa,5147161.377688507,235581.79640996174,448432.45436453354,96.74855212251086,12.0060550705963
133,135,11.670373138449,ssaa,5013840.727022544,241813.34031630424,450440.8696270095,99.30770867928995,11.670373138449
